#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abarasman;Abarasman;Abarasman;Abarasman;;Abarasman;;;;;;;;;x
b_abarasman_adj;Abarasmanian;;abarasmaner;;;;;;;;;;;x
b_abarasman_2;Abarasman;Abarasman;Abarasman;;Abarasman;;;;;;;;;x
b_abarasman_2_adj;Abarasmanian;;abarasmaner;;;;;;;;;;;x
b_abarasman_3;Abarasman;Abarasman;Abarasman;;Abarasman;;;;;;;;;x
b_abarasman_3_adj;Abarasmanian;;abarasmaner;;;;;;;;;;;x
b_abouniki;Abouniki;Abouniki;Abouniki;;Abouniki;;;;;;;;;x
b_abouniki_adj;Abounikian;;abouniker;;;;;;;;;;;x
b_abrasia;Abrasia;Abrasia;Abrasia;;Abrasia;;;;;;;;;x
b_abrasia_adj;Abrasian;;abraser;;;;;;;;;;;x
b_actarica;Actarica;Actarica;Actarica;;Actarica;;;;;;;;;x
b_actarica_adj;Actarican;;actaricer;;;;;;;;;;;x
b_adriana;Adriana;Adriana;Adriana;;Adriana;;;;;;;;;x
b_adriana_adj;Adrianan;;adrianer;;;;;;;;;;;x
b_aduvishtag;Aduvishtag;Aduvishtag;Aduvishtag;;Aduvishtag;;;;;;;;;x
b_aduvishtag_adj;Aduvishtagian;;aduvishtager;;;;;;;;;;;x
b_aduvishtag_2;Aduvishtag;Aduvishtag;Aduvishtag;;Aduvishtag;;;;;;;;;x
b_aduvishtag_2_adj;Aduvishtagian;;aduvishtager;;;;;;;;;;;x
b_aerica;Aerica;Aerica;Aerica;;Aerica;;;;;;;;;x
b_aerica_adj;Aerican;;aericer;;;;;;;;;;;x
b_agaperias;Agaperias;Agaperias;Agaperias;;Agaperias;;;;;;;;;x
b_agaperias_adj;Agaperiasian;;agaperiaser;;;;;;;;;;;x
b_agarica;Agarica;Agarica;Agarica;;Agarica;;;;;;;;;x
b_agarica_adj;Agarican;;agaricer;;;;;;;;;;;x
b_agiana;Agiana;Agiana;Agiana;;Agiana;;;;;;;;;x
b_agiana_adj;Agianan;;agianer;;;;;;;;;;;x
b_agniholm;Agniholm;Agniholm;Agniholm;;Agniholm;;;;;;;;;x
b_agniholm_adj;Agniholmian;;agniholmer;;;;;;;;;;;x
b_aikinofos;Aikinofos;Aikinofos;Aikinofos;;Aikinofos;;;;;;;;;x
b_aikinofos_adj;Aikinofosian;;aikinofoser;;;;;;;;;;;x
b_akrarsahoy;Akrarsahoy;Akrarsahoy;Akrarsahoy;;Akrarsahoy;;;;;;;;;x
b_akrarsahoy_adj;Akrarsahoian;;akrarsahoer;;;;;;;;;;;x
b_alexandropolis;Alexandropolis;Alexandropolis;Alexandropolis;;Alexandropolis;;;;;;;;;x
b_alexandropolis_adj;Alexandropolisian;;alexandropoliser;;;;;;;;;;;x
b_alipertino;Alipertino;Alipertino;Alipertino;;Alipertino;;;;;;;;;x
b_alipertino_adj;Alipertinian;;alipertiner;;;;;;;;;;;x
b_alipertino_2;Alipertino;Alipertino;Alipertino;;Alipertino;;;;;;;;;x
b_alipertino_2_adj;Alipertinian;;alipertiner;;;;;;;;;;;x
b_alkfstadir;Alkfstadir;Alkfstadir;Alkfstadir;;Alkfstadir;;;;;;;;;x
b_alkfstadir_adj;Alkfstadirian;;alkfstadirer;;;;;;;;;;;x
b_alkitse;Alkitse;Alkitse;Alkitse;;Alkitse;;;;;;;;;x
b_alkitse_adj;Alkitsean;;alkitser;;;;;;;;;;;x
b_amay;Amay;Amay;Amay;;Amay;;;;;;;;;x
b_amay_adj;Amaian;;amaer;;;;;;;;;;;x
b_amicica;Amicica;Amicica;Amicica;;Amicica;;;;;;;;;x
b_amicica_adj;Amicican;;amicicer;;;;;;;;;;;x
b_ampen;Ampen;Ampen;Ampen;;Ampen;;;;;;;;;x
b_ampen_adj;Ampenian;;ampener;;;;;;;;;;;x
b_ampen_2;Ampen;Ampen;Ampen;;Ampen;;;;;;;;;x
b_ampen_2_adj;Ampenian;;ampener;;;;;;;;;;;x
b_amrahorsag;Amrahorsag;Amrahorsag;Amrahorsag;;Amrahorsag;;;;;;;;;x
b_amrahorsag_adj;Amrahorsagian;;amrahorsager;;;;;;;;;;;x
b_amrasiki;Amrasiki;Amrasiki;Amrasiki;;Amrasiki;;;;;;;;;x
b_amrasiki_adj;Amrasikian;;amrasiker;;;;;;;;;;;x
b_amtouskird;Amtouskird;Amtouskird;Amtouskird;;Amtouskird;;;;;;;;;x
b_amtouskird_adj;Amtouskirdian;;amtouskirder;;;;;;;;;;;x
b_anacletica;Anacletica;Anacletica;Anacletica;;Anacletica;;;;;;;;;x
b_anacletica_adj;Anacletican;;anacleticer;;;;;;;;;;;x
b_anaupsion;Anaupsion;Anaupsion;Anaupsion;;Anaupsion;;;;;;;;;x
b_anaupsion_adj;Anaupsionian;;anaupsioner;;;;;;;;;;;x
