#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abarasman;Abarasman;Abarasman;Abarasman;;Abarasman;;;;;;;;;x
c_abarasman_adj;Abarasmanian;;abarasmaner;;;;;;;;;;;x
c_abaraxan;Abaraxan;Abaraxan;Abaraxan;;Abaraxan;;;;;;;;;x
c_abaraxan_adj;Abaraxanian;;abaraxaner;;;;;;;;;;;x
c_aduvishtag;Aduvishtag;Aduvishtag;Aduvishtag;;Aduvishtag;;;;;;;;;x
c_aduvishtag_adj;Aduvishtagian;;aduvishtager;;;;;;;;;;;x
c_akaridon;Akaridon;Akaridon;Akaridon;;Akaridon;;;;;;;;;x
c_akaridon_adj;Akaridonian;;akaridoner;;;;;;;;;;;x
c_alipertino;Alipertino;Alipertino;Alipertino;;Alipertino;;;;;;;;;x
c_alipertino_adj;Alipertinian;;alipertiner;;;;;;;;;;;x
c_alkesia;Alkesia;Alkesia;Alkesia;;Alkesia;;;;;;;;;x
c_alkesia_adj;Alkesian;;alkeser;;;;;;;;;;;x
c_ampen;Ampen;Ampen;Ampen;;Ampen;;;;;;;;;x
c_ampen_adj;Ampenian;;ampener;;;;;;;;;;;x
c_anikarea;Anikarea;Anikarea;Anikarea;;Anikarea;;;;;;;;;x
c_anikarea_adj;Anikarean;;anikarer;;;;;;;;;;;x
c_annida;Annida;Annida;Annida;;Annida;;;;;;;;;x
c_annida_adj;Annidan;;annider;;;;;;;;;;;x
c_antoniki;Antoniki;Antoniki;Antoniki;;Antoniki;;;;;;;;;x
c_antoniki_adj;Antonikian;;antoniker;;;;;;;;;;;x
c_artali;Artali;Artali;Artali;;Artali;;;;;;;;;x
c_artali_adj;Artalian;;artaler;;;;;;;;;;;x
c_artvari;Artvari;Artvari;Artvari;;Artvari;;;;;;;;;x
c_artvari_adj;Artvarian;;artvarer;;;;;;;;;;;x
c_asbasia;Asbasia;Asbasia;Asbasia;;Asbasia;;;;;;;;;x
c_asbasia_adj;Asbasian;;asbaser;;;;;;;;;;;x
c_asorica;Asorica;Asorica;Asorica;;Asorica;;;;;;;;;x
c_asorica_adj;Asorican;;asoricer;;;;;;;;;;;x
c_asparia;Asparia;Asparia;Asparia;;Asparia;;;;;;;;;x
c_asparia_adj;Asparian;;asparer;;;;;;;;;;;x
c_azarmaperoz;Azarmaperoz;Azarmaperoz;Azarmaperoz;;Azarmaperoz;;;;;;;;;x
c_azarmaperoz_adj;Azarmaperozian;;azarmaperozer;;;;;;;;;;;x
c_bahar;Bahar;Bahar;Bahar;;Bahar;;;;;;;;;x
c_bahar_adj;Baharian;;baharer;;;;;;;;;;;x
c_bakiatida;Bakiatida;Bakiatida;Bakiatida;;Bakiatida;;;;;;;;;x
c_bakiatida_adj;Bakiatidan;;bakiatider;;;;;;;;;;;x
c_bakrid;Bakrid;Bakrid;Bakrid;;Bakrid;;;;;;;;;x
c_bakrid_adj;Bakridian;;bakrider;;;;;;;;;;;x
c_baria;Baria;Baria;Baria;;Baria;;;;;;;;;x
c_baria_adj;Barian;;barer;;;;;;;;;;;x
c_barkos;Barkos;Barkos;Barkos;;Barkos;;;;;;;;;x
c_barkos_adj;Barkosian;;barkoser;;;;;;;;;;;x
c_bassidea;Bassidea;Bassidea;Bassidea;;Bassidea;;;;;;;;;x
c_bassidea_adj;Bassidean;;bassider;;;;;;;;;;;x
c_bastidon;Bastidon;Bastidon;Bastidon;;Bastidon;;;;;;;;;x
c_bastidon_adj;Bastidonian;;bastidoner;;;;;;;;;;;x
c_belbano;Belbano;Belbano;Belbano;;Belbano;;;;;;;;;x
c_belbano_adj;Belbanian;;belbaner;;;;;;;;;;;x
c_berginya;Berginya;Berginya;Berginya;;Berginya;;;;;;;;;x
c_berginya_adj;Berginyan;;berginer;;;;;;;;;;;x
c_beridice;Beridice;Beridice;Beridice;;Beridice;;;;;;;;;x
c_beridice_adj;Beridicean;;beridicer;;;;;;;;;;;x
c_bissini;Bissini;Bissini;Bissini;;Bissini;;;;;;;;;x
c_bissini_adj;Bissinian;;bissiner;;;;;;;;;;;x
c_bistrim;Bistrim;Bistrim;Bistrim;;Bistrim;;;;;;;;;x
c_bistrim_adj;Bistrimian;;bistrimer;;;;;;;;;;;x
c_bisxar;Bisxar;Bisxar;Bisxar;;Bisxar;;;;;;;;;x
c_bisxar_adj;Bisxarian;;bisxarer;;;;;;;;;;;x
c_bona;Bona;Bona;Bona;;Bona;;;;;;;;;x
c_bona_adj;Bonan;;boner;;;;;;;;;;;x
c_boranasi;Boranasi;Boranasi;Boranasi;;Boranasi;;;;;;;;;x
c_boranasi_adj;Boranasian;;boranaser;;;;;;;;;;;x
c_bostas;Bostas;Bostas;Bostas;;Bostas;;;;;;;;;x
c_bostas_adj;Bostasian;;bostaser;;;;;;;;;;;x
c_bras;Bras;Bras;Bras;;Bras;;;;;;;;;x
c_bras_adj;Brasian;;braser;;;;;;;;;;;x
c_brogiwafrdeh;Brogiwafrdeh;Brogiwafrdeh;Brogiwafrdeh;;Brogiwafrdeh;;;;;;;;;x
c_brogiwafrdeh_adj;Brogiwafrdehian;;brogiwafrdeher;;;;;;;;;;;x
c_brunnios;Brunnios;Brunnios;Brunnios;;Brunnios;;;;;;;;;x
c_brunnios_adj;Brunniosian;;brunnioser;;;;;;;;;;;x
c_byala_tserkva;Byala Tserkva;Byala Tserkva;Byala Tserkva;;Byala Tserkva;;;;;;;;;x
c_byala_tserkva_adj;Byala Tserkvan;;Byala Tserkver;;;;;;;;;;;x
c_camarica;Camarica;Camarica;Camarica;;Camarica;;;;;;;;;x
c_camarica_adj;Camarican;;camaricer;;;;;;;;;;;x
c_camesas;Camesas;Camesas;Camesas;;Camesas;;;;;;;;;x
c_camesas_adj;Camesasian;;camesaser;;;;;;;;;;;x
c_capanieris;Capanieris;Capanieris;Capanieris;;Capanieris;;;;;;;;;x
c_capanieris_adj;Capanierisian;;capanieriser;;;;;;;;;;;x
c_carlenan;Carlenan;Carlenan;Carlenan;;Carlenan;;;;;;;;;x
c_carlenan_adj;Carlenanian;;carlenaner;;;;;;;;;;;x
c_carvan;Carvan;Carvan;Carvan;;Carvan;;;;;;;;;x
c_carvan_adj;Carvanian;;carvaner;;;;;;;;;;;x
c_castero;Castero;Castero;Castero;;Castero;;;;;;;;;x
c_castero_adj;Casterian;;casterer;;;;;;;;;;;x
c_cembreggo;Cembreggo;Cembreggo;Cembreggo;;Cembreggo;;;;;;;;;x
c_cembreggo_adj;Cembreggian;;cembregger;;;;;;;;;;;x
c_centida;Centida;Centida;Centida;;Centida;;;;;;;;;x
c_centida_adj;Centidan;;centider;;;;;;;;;;;x
c_cerbos;Cerbos;Cerbos;Cerbos;;Cerbos;;;;;;;;;x
c_cerbos_adj;Cerbosian;;cerboser;;;;;;;;;;;x
c_cerezzo;Cerezzo;Cerezzo;Cerezzo;;Cerezzo;;;;;;;;;x
c_cerezzo_adj;Cerezzian;;cerezzer;;;;;;;;;;;x
c_ceventino;Ceventino;Ceventino;Ceventino;;Ceventino;;;;;;;;;x
c_ceventino_adj;Ceventinian;;ceventiner;;;;;;;;;;;x
c_comosco;Comosco;Comosco;Comosco;;Comosco;;;;;;;;;x
c_comosco_adj;Comoscian;;comoscer;;;;;;;;;;;x
c_covadi;Covadi;Covadi;Covadi;;Covadi;;;;;;;;;x
c_covadi_adj;Covadian;;covader;;;;;;;;;;;x
c_dagrberg;Dagrberg;Dagrberg;Dagrberg;;Dagrberg;;;;;;;;;x
c_dagrberg_adj;Dagrbergian;;dagrberger;;;;;;;;;;;x
c_dahikofan;Dahikofan;Dahikofan;Dahikofan;;Dahikofan;;;;;;;;;x
c_dahikofan_adj;Dahikofanian;;dahikofaner;;;;;;;;;;;x
c_dahmunbayur;Dahmunbayur;Dahmunbayur;Dahmunbayur;;Dahmunbayur;;;;;;;;;x
c_dahmunbayur_adj;Dahmunbayurian;;dahmunbayurer;;;;;;;;;;;x
c_dalman;Dalman;Dalman;Dalman;;Dalman;;;;;;;;;x
c_dalman_adj;Dalmanian;;dalmaner;;;;;;;;;;;x
c_damianograd;Damianograd;Damianograd;Damianograd;;Damianograd;;;;;;;;;x
c_damianograd_adj;Damianogradian;;damianograder;;;;;;;;;;;x
c_danushparwanag;Danushparwanag;Danushparwanag;Danushparwanag;;Danushparwanag;;;;;;;;;x
c_danushparwanag_adj;Danushparwanagian;;danushparwanager;;;;;;;;;;;x
c_darkestrida;Darkestrida;Darkestrida;Darkestrida;;Darkestrida;;;;;;;;;x
c_darkestrida_adj;Darkestridan;;darkestrider;;;;;;;;;;;x
c_darmakarvos;Darmakarvos;Darmakarvos;Darmakarvos;;Darmakarvos;;;;;;;;;x
c_darmakarvos_adj;Darmakarvosian;;darmakarvoser;;;;;;;;;;;x
c_davli;Davli;Davli;Davli;;Davli;;;;;;;;;x
c_davli_adj;Davlian;;davler;;;;;;;;;;;x
c_demedo;Demedo;Demedo;Demedo;;Demedo;;;;;;;;;x
c_demedo_adj;Demedian;;demeder;;;;;;;;;;;x
c_dender;Dender;Dender;Dender;;Dender;;;;;;;;;x
c_dender_adj;Denderian;;denderer;;;;;;;;;;;x
c_destamar;Destamar;Destamar;Destamar;;Destamar;;;;;;;;;x
c_destamar_adj;Destamarian;;destamarer;;;;;;;;;;;x
c_dinieras;Dinieras;Dinieras;Dinieras;;Dinieras;;;;;;;;;x
c_dinieras_adj;Dinierasian;;dinieraser;;;;;;;;;;;x
c_dolici;Dolici;Dolici;Dolici;;Dolici;;;;;;;;;x
c_dolici_adj;Dolician;;dolicer;;;;;;;;;;;x
c_donik;Donik;Donik;Donik;;Donik;;;;;;;;;x
c_donik_adj;Donikian;;doniker;;;;;;;;;;;x
c_dosina;Dosina;Dosina;Dosina;;Dosina;;;;;;;;;x
c_dosina_adj;Dosinan;;dosiner;;;;;;;;;;;x
c_dvanci;Dvanci;Dvanci;Dvanci;;Dvanci;;;;;;;;;x
c_dvanci_adj;Dvancian;;dvancer;;;;;;;;;;;x
c_egrania;Egrania;Egrania;Egrania;;Egrania;;;;;;;;;x
c_egrania_adj;Egranian;;egraner;;;;;;;;;;;x
c_eisertoft;Eisertoft;Eisertoft;Eisertoft;;Eisertoft;;;;;;;;;x
c_eisertoft_adj;Eisertoftian;;eisertofter;;;;;;;;;;;x
c_eklesam;Eklesam;Eklesam;Eklesam;;Eklesam;;;;;;;;;x
c_eklesam_adj;Eklesamian;;eklesamer;;;;;;;;;;;x
c_elsidiki;Elsidiki;Elsidiki;Elsidiki;;Elsidiki;;;;;;;;;x
c_elsidiki_adj;Elsidikian;;elsidiker;;;;;;;;;;;x
c_entona;Entona;Entona;Entona;;Entona;;;;;;;;;x
c_entona_adj;Entonan;;entoner;;;;;;;;;;;x
c_erhad;Erhad;Erhad;Erhad;;Erhad;;;;;;;;;x
c_erhad_adj;Erhadian;;erhader;;;;;;;;;;;x
c_escravineti;Escravineti;Escravineti;Escravineti;;Escravineti;;;;;;;;;x
c_escravineti_adj;Escravinetian;;escravineter;;;;;;;;;;;x
c_eseltana;Eseltana;Eseltana;Eseltana;;Eseltana;;;;;;;;;x
c_eseltana_adj;Eseltanan;;eseltaner;;;;;;;;;;;x
c_esmedi;Esmedi;Esmedi;Esmedi;;Esmedi;;;;;;;;;x
c_esmedi_adj;Esmedian;;esmeder;;;;;;;;;;;x
c_estagohr;Estagohr;Estagohr;Estagohr;;Estagohr;;;;;;;;;x
c_estagohr_adj;Estagohrian;;estagohrer;;;;;;;;;;;x
c_evkinoe;Evkinoe;Evkinoe;Evkinoe;;Evkinoe;;;;;;;;;x
c_evkinoe_adj;Evkinoean;;evkiner;;;;;;;;;;;x
c_exravshabur;Exravshabur;Exravshabur;Exravshabur;;Exravshabur;;;;;;;;;x
c_exravshabur_adj;Exravshaburian;;exravshaburer;;;;;;;;;;;x
c_fabolisia;Fabolisia;Fabolisia;Fabolisia;;Fabolisia;;;;;;;;;x
c_fabolisia_adj;Fabolisian;;faboliser;;;;;;;;;;;x
c_falistimea;Falistimea;Falistimea;Falistimea;;Falistimea;;;;;;;;;x
c_falistimea_adj;Falistimean;;falistimer;;;;;;;;;;;x
c_farrazdeh;Farrazdeh;Farrazdeh;Farrazdeh;;Farrazdeh;;;;;;;;;x
c_farrazdeh_adj;Farrazdehian;;farrazdeher;;;;;;;;;;;x
c_farrozaveshkar;Farrozaveshkar;Farrozaveshkar;Farrozaveshkar;;Farrozaveshkar;;;;;;;;;x
c_farrozaveshkar_adj;Farrozaveshkarian;;farrozaveshkarer;;;;;;;;;;;x
c_farruzoshad;Farruzoshad;Farruzoshad;Farruzoshad;;Farruzoshad;;;;;;;;;x
c_farruzoshad_adj;Farruzoshadian;;farruzoshader;;;;;;;;;;;x
c_fasco;Fasco;Fasco;Fasco;;Fasco;;;;;;;;;x
c_fasco_adj;Fascian;;fascer;;;;;;;;;;;x
c_fiuri;Fiuri;Fiuri;Fiuri;;Fiuri;;;;;;;;;x
c_fiuri_adj;Fiurian;;fiurer;;;;;;;;;;;x
c_foranval;Foranval;Foranval;Foranval;;Foranval;;;;;;;;;x
c_foranval_adj;Foranvalian;;foranvaler;;;;;;;;;;;x
c_fostanari;Fostanari;Fostanari;Fostanari;;Fostanari;;;;;;;;;x
c_fostanari_adj;Fostanarian;;fostanarer;;;;;;;;;;;x
c_fradaia;Fradaia;Fradaia;Fradaia;;Fradaia;;;;;;;;;x
c_fradaia_adj;Fradaian;;frader;;;;;;;;;;;x
c_fraxdashtagul;Fraxdashtagul;Fraxdashtagul;Fraxdashtagul;;Fraxdashtagul;;;;;;;;;x
c_fraxdashtagul_adj;Fraxdashtagulian;;fraxdashtaguler;;;;;;;;;;;x
c_fungat;Fungat;Fungat;Fungat;;Fungat;;;;;;;;;x
c_fungat_adj;Fungatian;;fungater;;;;;;;;;;;x
c_gandumdasht;Gandumdasht;Gandumdasht;Gandumdasht;;Gandumdasht;;;;;;;;;x
c_gandumdasht_adj;Gandumdashtian;;gandumdashter;;;;;;;;;;;x
c_gankariki;Gankariki;Gankariki;Gankariki;;Gankariki;;;;;;;;;x
c_gankariki_adj;Gankarikian;;gankariker;;;;;;;;;;;x
c_garomseradoshast;Garomseradoshast;Garomseradoshast;Garomseradoshast;;Garomseradoshast;;;;;;;;;x
c_garomseradoshast_adj;Garomseradoshastian;;garomseradoshaster;;;;;;;;;;;x
c_garta;Garta;Garta;Garta;;Garta;;;;;;;;;x
c_garta_adj;Gartan;;garter;;;;;;;;;;;x
c_garupol;Garupol;Garupol;Garupol;;Garupol;;;;;;;;;x
c_garupol_adj;Garupolian;;garupoler;;;;;;;;;;;x
c_gaspanica;Gaspanica;Gaspanica;Gaspanica;;Gaspanica;;;;;;;;;x
c_gaspanica_adj;Gaspanican;;gaspanicer;;;;;;;;;;;x
c_gavras;Gavras;Gavras;Gavras;;Gavras;;;;;;;;;x
c_gavras_adj;Gavrasian;;gavraser;;;;;;;;;;;x
c_gedelferti;Gedelferti;Gedelferti;Gedelferti;;Gedelferti;;;;;;;;;x
c_gedelferti_adj;Gedelfertian;;gedelferter;;;;;;;;;;;x
c_gemerida;Gemerida;Gemerida;Gemerida;;Gemerida;;;;;;;;;x
c_gemerida_adj;Gemeridan;;gemerider;;;;;;;;;;;x
c_gerrinasos;Gerrinasos;Gerrinasos;Gerrinasos;;Gerrinasos;;;;;;;;;x
c_gerrinasos_adj;Gerrinasosian;;gerrinasoser;;;;;;;;;;;x
c_giulitano;Giulitano;Giulitano;Giulitano;;Giulitano;;;;;;;;;x
c_giulitano_adj;Giulitanian;;giulitaner;;;;;;;;;;;x
c_giustica;Giustica;Giustica;Giustica;;Giustica;;;;;;;;;x
c_giustica_adj;Giustican;;giusticer;;;;;;;;;;;x
c_gonarhaf;Gonarhaf;Gonarhaf;Gonarhaf;;Gonarhaf;;;;;;;;;x
c_gonarhaf_adj;Gonarhafian;;gonarhafer;;;;;;;;;;;x
c_gondahr;Gondahr;Gondahr;Gondahr;;Gondahr;;;;;;;;;x
c_gondahr_adj;Gondahrian;;gondahrer;;;;;;;;;;;x
c_gorni_polev;Gorni Polev;Gorni Polev;Gorni Polev;;Gorni Polev;;;;;;;;;x
c_gorni_polev_adj;Gorni Polevian;;Gorni Polever;;;;;;;;;;;x
c_gramo;Gramo;Gramo;Gramo;;Gramo;;;;;;;;;x
c_gramo_adj;Gramian;;gramer;;;;;;;;;;;x
c_granopol;Granopol;Granopol;Granopol;;Granopol;;;;;;;;;x
c_granopol_adj;Granopolian;;granopoler;;;;;;;;;;;x
c_harg;Harg;Harg;Harg;;Harg;;;;;;;;;x
c_harg_adj;Hargian;;harger;;;;;;;;;;;x
c_hestia;Hestia;Hestia;Hestia;;Hestia;;;;;;;;;x
c_hestia_adj;Hestian;;hester;;;;;;;;;;;x
