#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_akaridon;Akaridon;Akaridon;Akaridon;;Akaridon;;;;;;;;;x
d_akaridon_adj;Akaridonian;;akaridoner;;;;;;;;;;;x
d_alkesia;Alkesia;Alkesia;Alkesia;;Alkesia;;;;;;;;;x
d_alkesia_adj;Alkesian;;alkeser;;;;;;;;;;;x
d_auram;Auram;Auram;Auram;;Auram;;;;;;;;;x
d_auram_adj;Auramian;;auramer;;;;;;;;;;;x
d_baria;Baria;Baria;Baria;;Baria;;;;;;;;;x
d_baria_adj;Barian;;barer;;;;;;;;;;;x
d_barkos;Barkos;Barkos;Barkos;;Barkos;;;;;;;;;x
d_barkos_adj;Barkosian;;barkoser;;;;;;;;;;;x
d_bascat;Bascat;Bascat;Bascat;;Bascat;;;;;;;;;x
d_bascat_adj;Bascatian;;bascater;;;;;;;;;;;x
d_bercino;Bercino;Bercino;Bercino;;Bercino;;;;;;;;;x
d_bercino_adj;Bercinian;;berciner;;;;;;;;;;;x
d_bisxar;Bisxar;Bisxar;Bisxar;;Bisxar;;;;;;;;;x
d_bisxar_adj;Bisxarian;;bisxarer;;;;;;;;;;;x
d_bolestrina;Bolestrina;Bolestrina;Bolestrina;;Bolestrina;;;;;;;;;x
d_bolestrina_adj;Bolestrinan;;bolestriner;;;;;;;;;;;x
d_bras;Bras;Bras;Bras;;Bras;;;;;;;;;x
d_bras_adj;Brasian;;braser;;;;;;;;;;;x
d_byala_tserkva;Byala Tserkva;Byala Tserkva;Byala Tserkva;;Byala Tserkva;;;;;;;;;x
d_byala_tserkva_adj;Byala Tserkvan;;Byala Tserkver;;;;;;;;;;;x
d_capanieris;Capanieris;Capanieris;Capanieris;;Capanieris;;;;;;;;;x
d_capanieris_adj;Capanierisian;;capanieriser;;;;;;;;;;;x
d_carana;Carana;Carana;Carana;;Carana;;;;;;;;;x
d_carana_adj;Caranan;;caraner;;;;;;;;;;;x
d_colpari;Colpari;Colpari;Colpari;;Colpari;;;;;;;;;x
d_colpari_adj;Colparian;;colparer;;;;;;;;;;;x
d_dagrberg;Dagrberg;Dagrberg;Dagrberg;;Dagrberg;;;;;;;;;x
d_dagrberg_adj;Dagrbergian;;dagrberger;;;;;;;;;;;x
d_dahikofan;Dahikofan;Dahikofan;Dahikofan;;Dahikofan;;;;;;;;;x
d_dahikofan_adj;Dahikofanian;;dahikofaner;;;;;;;;;;;x
d_dalman;Dalman;Dalman;Dalman;;Dalman;;;;;;;;;x
d_dalman_adj;Dalmanian;;dalmaner;;;;;;;;;;;x
d_damianograd;Damianograd;Damianograd;Damianograd;;Damianograd;;;;;;;;;x
d_damianograd_adj;Damianogradian;;damianograder;;;;;;;;;;;x
d_danushparwanag;Danushparwanag;Danushparwanag;Danushparwanag;;Danushparwanag;;;;;;;;;x
d_danushparwanag_adj;Danushparwanagian;;danushparwanager;;;;;;;;;;;x
d_dashtawaran;Dashtawaran;Dashtawaran;Dashtawaran;;Dashtawaran;;;;;;;;;x
d_dashtawaran_adj;Dashtawaranian;;dashtawaraner;;;;;;;;;;;x
