#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_asbaryar;Asbaryar;Asbaryar;Asbaryar;;Asbaryar;;;;;;;;;x
k_asbaryar_adj;Asbaryarian;;asbaryarer;;;;;;;;;;;x
k_bascat;Bascat;Bascat;Bascat;;Bascat;;;;;;;;;x
k_bascat_adj;Bascatian;;bascater;;;;;;;;;;;x
k_gerikea;Gerikea;Gerikea;Gerikea;;Gerikea;;;;;;;;;x
k_gerikea_adj;Gerikean;;geriker;;;;;;;;;;;x
k_holsida;Holsida;Holsida;Holsida;;Holsida;;;;;;;;;x
k_holsida_adj;Holsidan;;holsider;;;;;;;;;;;x
k_kayastan;Kayastan;Kayastan;Kayastan;;Kayastan;;;;;;;;;x
k_kayastan_adj;Kayastanian;;kayastaner;;;;;;;;;;;x
k_kolonea;Kolonea;Kolonea;Kolonea;;Kolonea;;;;;;;;;x
k_kolonea_adj;Kolonean;;koloner;;;;;;;;;;;x
k_lycinia;Lycinia;Lycinia;Lycinia;;Lycinia;;;;;;;;;x
k_lycinia_adj;Lycinian;;lyciner;;;;;;;;;;;x
k_melida;Melida;Melida;Melida;;Melida;;;;;;;;;x
k_melida_adj;Melidan;;melider;;;;;;;;;;;x
k_orbannon;Orbannon;Orbannon;Orbannon;;Orbannon;;;;;;;;;x
k_orbannon_adj;Orbannonian;;orbannoner;;;;;;;;;;;x
k_phlemensia;Phlemensia;Phlemensia;Phlemensia;;Phlemensia;;;;;;;;;x
k_phlemensia_adj;Phlemensian;;phlemenser;;;;;;;;;;;x
k_psilensia;Psilensia;Psilensia;Psilensia;;Psilensia;;;;;;;;;x
k_psilensia_adj;Psilensian;;psilenser;;;;;;;;;;;x
k_rarica;Rarica;Rarica;Rarica;;Rarica;;;;;;;;;x
k_rarica_adj;Rarican;;raricer;;;;;;;;;;;x
k_sudrweg;Sudrweg;Sudrweg;Sudrweg;;Sudrweg;;;;;;;;;x
k_sudrweg_adj;Sudrwegian;;sudrweger;;;;;;;;;;;x
k_ventino;Ventino;Ventino;Ventino;;Ventino;;;;;;;;;x
k_ventino_adj;Ventinian;;ventiner;;;;;;;;;;;x
k_xedvar;Xedvar;Xedvar;Xedvar;;Xedvar;;;;;;;;;x
k_xedvar_adj;Xedvarian;;xedvarer;;;;;;;;;;;x
