#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_royal_army_general_1;General;;;;;;;;;;;;;
title_royal_army_general_2;General;;;;;;;;;;;;;
title_royal_army_general_3;General;;;;;;;;;;;;;
title_royal_army_general_4;General;;;;;;;;;;;;;
title_royal_army_general_5;General;;;;;;;;;;;;;
title_royal_army_officer;Officer;;;;;;;;;;;;;
ROYAL_ARMY_1;First Army of [From.PrimaryTitle.GetBaseName];;;;;;;;;;;;;
ROYAL_ARMY_2;Second Army of [From.PrimaryTitle.GetBaseName];;;;;;;;;;;;;
ROYAL_ARMY_3;Third Army of [From.PrimaryTitle.GetBaseName];;;;;;;;;;;;;
ROYAL_ARMY_4;Fourth Army of [From.PrimaryTitle.GetBaseName];;;;;;;;;;;;;
ROYAL_ARMY_5;Fifth Army of [From.PrimaryTitle.GetBaseName];;;;;;;;;;;;;
GENERAL;General;;;;;;;;;;;;;
GENERAL_FOA;Dear general;;;;;;;;;;;;;
GENERAL_auletian;General;;;;;;;;;;;;;
army_centralization;Royal Army;;;;;;;;;;;;;
army_centralization_desc;Composition of army dictates the balance between locally assembled levies and standing centralized army in the realm's armed forces;;;;;;;;;;;;;
army_centralization_0;Local +;;;;;;;;;;;;;
army_centralization_0_option;Highly decentralized army;;;;;;;;;;;;;
army_centralization_0_desc;One central army and massive levies;;;;;;;;;;;;;
army_centralization_1;Local;;;;;;;;;;;;;
army_centralization_1_option;Decentralized army;;;;;;;;;;;;;
army_centralization_1_desc;Two central armies and large amount of levies;;;;;;;;;;;;;
army_centralization_2;Balanced;;;;;;;;;;;;;
army_centralization_2_option;Balanced army composition;;;;;;;;;;;;;
army_centralization_2_desc;Three central armies and some levy force;;;;;;;;;;;;;
army_centralization_3;Central;;;;;;;;;;;;;
army_centralization_3_option;Centralized army;;;;;;;;;;;;;
army_centralization_3_desc;Four central armies and minor levy force;;;;;;;;;;;;;
army_centralization_4;Central +;;;;;;;;;;;;;
army_centralization_4_option;Highly centralized army;;;;;;;;;;;;;
army_centralization_4_desc;Five central armies and token levy force;;;;;;;;;;;;;
toggle_hiring_decisions_on;Toggle Hiring Decisions On;;;;;;;;;;;;;
toggle_hiring_decisions_off;Toggle Hiring Decisions Off;;;;;;;;;;;;;
add_troops_to_first_army;Add Troops to First Army;;;;;;;;;;;;;
end_adding_troops_to_first_army;End Adding Troops to First Army;;;;;;;;;;;;;
add_light_infantry_squad_to_first_army;Add Light Infantry Squad to First Army;;;;;;;;;;;;;
add_archer_squad_to_first_army;Add Archer Squad to First Army;;;;;;;;;;;;;
add_heavy_infantry_squad_to_first_army;Add Heavy Cavalry Squad to First Army;;;;;;;;;;;;;
add_light_cavalry_squad_to_first_army;Add Light Cavalry Squad to First Army;;;;;;;;;;;;;
